"","x_name","essential","degree","eigenvector_centrality","betweenness_centrality","closeness_centrality","predicted_lethality","acc"
"1898","YGL137W","1",46,4.41216617157335e-05,0.00017316320556402,0.299802861042309,"0",FALSE
"1903","YDL216C","0",67,0.00183032202287031,0.00161646435331159,0.330786391522588,"1",FALSE
"1907","YGL243W","0",25,0.000694682890759254,0.00039119893606428,0.290237337900661,"0",TRUE
"1910","YDR002W","1",70,0.000752232553361473,0.000671952646628924,0.330970982142857,"0",FALSE
"1911","YOR048C","1",79,0.00450398515980761,0.000866384612133288,0.322494698493829,"1",TRUE
"1912","YPL246C","0",10,0.000121802641049006,0.000586386861282866,0.287605469886529,"0",TRUE
"1913","YBL084C","1",72,9.68304615233083e-05,0.000899389245086567,0.312190756921781,"0",FALSE
"1917","YMR314W","1",57,0.00201471286899818,0.000681230189817898,0.31245390369824,"1",TRUE
"1920","YER036C","1",139,0.0331251289099568,0.000148730539465073,0.32851445663011,"0",FALSE
"1922","YLR355C","1",41,0.00170894153899123,0.000945179904837913,0.318682499597013,"0",FALSE
"1925","YDR363W-A","0",52,0.00153332525791184,0.000290248696385948,0.310572341205425,"1",FALSE
"1926","YEL058W","1",20,1.53393411413191e-05,0.000220006796875477,0.285624849506381,"0",FALSE
"1927","YDL136W","0",296,0.0685466466086599,0.000769161978162005,0.353119790426292,"0",TRUE
"1931","YMR009W","0",11,5.63091979525699e-05,9.90807984532124e-05,0.268298199583823,"0",TRUE
"1932","YDR457W","0",38,0.000962303709411376,0.00071208848566302,0.323550270034368,"0",TRUE
"1935","YER103W","0",72,0.00066490698059281,0.000547508894716055,0.334952278759812,"0",TRUE
"1936","YDR083W","0",231,0.0471949663783491,0.00117418381568061,0.342080978198177,"1",FALSE
"1937","YOR039W","0",109,0.0218503342433999,0.000653675593976816,0.326866905483604,"0",TRUE
"1938","YLR433C","0",54,7.34917574498497e-05,0.000695746075088918,0.315009560229445,"0",TRUE
"1939","YGR001C","0",13,0.00036687565115379,0.000388791306803594,0.282079330352896,"0",TRUE
"1940","YLR410W","0",10,3.34915178728876e-05,0.000105586858725194,0.28627280625543,"0",TRUE
"1943","YKL145W","1",87,0.00909554320022939,0.000389396061294345,0.323656207366985,"0",FALSE
"1944","YDR373W","1",10,0.000107327207078702,5.19033509957805e-05,0.29971196119056,"0",FALSE
"1946","YJR147W","0",16,0.00038329800352186,6.35006666807925e-05,0.299303593056116,"0",TRUE
"1948","YDR135C","0",25,4.84179274047758e-05,0.000914335959247137,0.291092024539877,"0",TRUE
"1951","YPR058W","0",2,0.000162444235206794,6.58312500552297e-06,0.251462732129229,"0",TRUE
"1952","YLR197W","1",310,0.054334106138723,0.00170205161868035,0.351279317697228,"1",TRUE
"1955","YKL172W","1",268,0.0510415750325085,0.000789539784542429,0.342298147400012,"1",TRUE
"1956","YJR139C","0",24,1.63840538594159e-05,6.60445781876915e-05,0.286840450742371,"0",TRUE
"1958","YHR206W","0",69,0.000432341019591445,0.00291140608779222,0.336338890779177,"0",TRUE
"1962","YGR249W","0",20,0.000382596772528436,0.000980355857892357,0.303205357599305,"0",TRUE
"1963","YDL084W","1",100,0.00594349831440391,0.00241252632316157,0.343865955473098,"1",TRUE
"1966","YDL208W","1",275,0.0466852747888303,0.00217988164752246,0.347533106761983,"1",TRUE
"1967","YER007C-A","0",68,0.0176771533262392,0.000204051335007171,0.312750474583421,"1",FALSE
"1968","YOR182C","1",222,0.0569609222277626,0.000440615600893301,0.330565154386356,"0",FALSE
"1969","YER012W","1",59,0.00141604793193446,0.000339703928489915,0.316033462993553,"1",TRUE
"1972","YDR142C","0",29,2.33612420122767e-05,0.000220917670414331,0.285693641618497,"0",TRUE
"1973","YNL281W","0",19,0.000298685460476986,6.82786407896506e-06,0.299621116443546,"0",TRUE
"1975","YBL041W","1",89,0.00168606398710478,0.00288961782658105,0.326399207528479,"0",FALSE
"1976","YKL165C","1",17,5.19338153349043e-06,0.000411456949117555,0.271553500297605,"0",FALSE
"1978","YGR186W","1",68,0.000619449484538096,9.05971789036408e-05,0.308408299100411,"1",TRUE
"1979","YDR515W","0",8,0.000329400349731376,0.000127809391733609,0.290763800372586,"0",TRUE
"1981","YLR090W","0",35,0.000398497463493504,0.000306412838522886,0.310182521834632,"0",TRUE
"1984","YNL064C","0",66,0.000827098330289781,0.00137007948662124,0.338064295485636,"0",TRUE
"1988","YJL124C","0",56,0.00187609322517285,0.000307277120434628,0.31040979745643,"1",FALSE
"1989","YER156C","0",5,0.00101697699933011,2.34201587349048e-07,0.28364418938307,"0",TRUE
"1991","YHR035W","0",21,0.000215035224672407,4.02333541567158e-05,0.301157713009038,"0",TRUE
"1992","YJL001W","1",50,0.00142024420064366,0.000138524951641007,0.307226107226107,"1",TRUE
"1993","YHR167W","0",18,0.000299232757183013,0.000257145398280622,0.285693641618497,"0",TRUE
"1996","YDR214W","0",34,0.000419169351480485,5.59586091077284e-05,0.309534992954439,"0",TRUE
"1998","YOR243C","0",108,0.018544371455357,0.0004829894306829,0.31684384849618,"0",TRUE
"1999","YBR079C","1",125,0.0266244539677666,0.000573701150157062,0.327390152351512,"0",FALSE
"2002","YOL077C","1",276,0.0519357089252523,0.00100784837853313,0.347288909708397,"1",TRUE
"2003","YDR177W","1",36,0.00106612576431528,0.00015167821466098,0.314942650807137,"0",FALSE
"2005","YLR175W","1",247,0.0408842674783924,0.00373403062119324,0.354385755258126,"0",FALSE
"2006","YIL078W","1",75,0.00563115155076527,0.000440442456752676,0.320993667803215,"1",TRUE
"2007","YDL178W","0",25,0.000101065132783065,0.000553619551816866,0.311354926767809,"0",TRUE
"2008","YML064C","1",40,4.35585580487367e-05,0.000273723678772322,0.307146556188503,"0",FALSE
"2009","YGL087C","0",52,0.00102982161817475,0.000775810479274442,0.315730636145861,"1",FALSE
"2011","YHR193C","0",150,0.038747749160263,0.000304307253490006,0.325735940246046,"0",TRUE
"2013","YOR261C","1",60,0.00217812683584411,0.000196126046278051,0.32416921731526,"1",TRUE
"2014","YLR347C","1",85,0.00263903249543835,0.00222039074947531,0.334971196204676,"1",TRUE
"2016","YKL160W","0",19,0.000671926561258644,7.81604511644346e-06,0.293788389142065,"0",TRUE
"2017","YNL024C","0",12,3.85785095270938e-05,0.000202283100062014,0.283035075161059,"0",TRUE
"2023","YGL245W","1",70,0.00577528876826821,0.000936711126250951,0.32720953326713,"0",FALSE
"2027","YDR500C","0",210,0.0558616572889218,5.45106167498399e-05,0.329445092484586,"0",TRUE
"2031","YDL047W","0",77,0.00025426412350363,0.0032891470325335,0.334140845070423,"0",TRUE
"2032","YPL106C","0",92,0.00187920034463334,0.00091492149893252,0.337640897187749,"0",TRUE
"2037","YDR441C","0",26,0.000367662860422546,0.000178600703215846,0.292831045719364,"0",TRUE
"2040","YDL188C","0",50,0.000486702700529836,0.000581631159142489,0.316100836753184,"0",TRUE
"2041","YDR233C","1",22,2.28369771927836e-05,0.000372204463078535,0.293207435238284,"0",FALSE
"2044","YIL137C","1",9,0.000735241813830346,5.86076513281899e-05,0.289119625621527,"0",FALSE
"2045","YMR276W","1",65,0.00142814427183287,0.00109360556969834,0.327806333941303,"0",FALSE
"2046","YLL018C","1",35,0.000916164091686179,0.000150871550776977,0.303112383093985,"0",FALSE
"2047","YFR044C","0",37,0.000631213128143561,0.000938260329117098,0.317862693606303,"0",TRUE
"2048","YOR101W","0",52,0.000471509930468618,0.000637445305057004,0.332921695200674,"0",TRUE
"2049","YOR061W","0",113,0.022150720125411,0.000918711110172135,0.329426794045768,"0",TRUE
